,B,CD4,CD8,Monocytes,NK,Neutrophils
TIFAB,2.8037784960126473,0.0,3.3007470208907823,11.176859290491697,0.0,4.5265998143712025
S100A3,0.0,0.0,2.011543029272626,0.0,0.0,5.970804378090223
KLHL14,5.482375402781883,0.0,1.4020337258598123,0.0,0.0,0.0
GM44511,0.0,0.0,0.0,0.0,6.950409943774315,0.0
GM2447,3.968823718612332,0.0,0.5335040943867393,0.0,0.0,0.0
GM19590,0.0,0.0,0.6416549152076935,0.0,5.586056631832487,0.0
1700100I10RIK,0.0,0.0,0.0,0.0,4.317381851867529,0.0
DOCK1,0.0,0.0,0.3728000527839574,6.587334667857922,0.0,2.6138823847259944
TMCC2,2.6394785188370977,2.348301446100419,2.059175109935377,6.282312248200313,1.3993628782903995,2.1913221362800455
4933404K13RIK,3.7235456965612004,0.0,0.726433253698225,0.0,0.0,0.0
MIR697,0.0,0.0,7.221442027924839,0.0,0.0,0.0
SLC13A3,0.0,0.0,0.0,3.762066427007331,0.0,0.0
GM11686,0.0,0.0,7.577758699327414,0.0,0.0,0.0
CCL2,0.0,0.0,0.8412442680768042,7.179854660406461,0.0,1.4556306064928175
TRAV6D-7,0.0,9.130659736007658,7.327618096027959,0.0,0.0,0.0
GM16327,0.0,0.0,0.0,0.0,7.257421929939149,0.0
YPEL4,0.7210498188085892,2.722639590021723,0.8532767302476538,0.0,0.0,0.0
CMTM3,5.771577434481788,6.745160489287603,6.222866723748243,9.873288401695886,5.689772742907747,4.83735432124212
FOS,4.767632532377222,10.276561583569675,10.09788326684053,11.165050834022223,5.005887624189331,14.80945401750441
GM24524,3.0997360996559573,0.0,0.0,0.0,0.0,0.0
NCR1,0.0,0.0,3.5691962541810147,0.0,14.190665251119682,0.0
GM12474,0.39745993543566754,4.622470034158724,3.11042042864154,0.0,0.0,0.0
NLRP12,1.75724832785556,0.7251677245320511,0.9609374717359057,1.5512162173106299,0.6878604888271604,10.577739226681977
GM5281,3.382159305467579,0.0,0.32883529183187865,0.0,0.0,0.7150079426639251
TMEM202,1.1030056797406296,0.9331776467574459,1.2584168877633393,2.7059884649483994,0.0,7.253423283137751
CAP2,0.0,2.0024103236001536,0.5229740596826693,0.0,0.0,0.0
IGHV8-10,0.0,0.0,0.0,0.0,0.0,7.8098121889722965
GM18553,0.0,0.0,0.0,0.0,4.454845244569184,0.0
CFAP54,1.4921695095067533,1.5409526678816494,1.33243860796602,1.4763506145110417,0.9029934408826598,6.478742925948216
KLRI1,0.0,0.0,1.6118153541498088,1.4160893734187352,8.083392944782574,0.0
NSA2-PS1,0.0,0.0,8.842162459591506,0.0,0.0,0.0
GM45472,0.0,0.0,0.0,2.495572029663635,0.0,6.526313290778272
FAM167A,5.853708902213947,1.4307507573979514,1.4125828841661778,0.32357357676522774,0.0,1.1272592321921102
TRDJ1,0.0,0.0,0.0,0.0,12.133642982852955,0.0
MEIG1,0.0,0.0,0.0,1.713899740361863,0.0,6.371272984775818
GM10553,7.17057637858153,2.609507818315726,3.1787287603742227,2.789532794402643,2.8332122119282346,2.7937364076081765
CXCR1,0.0,2.1606750994796506,1.1312250211838386,0.0,0.0,7.685954133439582
FSTL1,2.3807672326640663,2.0348646958026375,2.3458466862455047,2.1309176679286947,6.36452503014777,2.1693060925624676
GUCA1A,2.5889742397756677,0.0,1.124194913262424,6.465290150477031,0.0,3.30737534976463
SPIB,11.495128498454667,2.9466962010044,6.53775071692918,2.2969549769968762,0.827003819383364,4.850048914495632
1700082M22RIK,1.1982557901191129,0.0,0.0,0.0,4.517827065128821,0.0
4921527H02RIK,0.0,0.0,0.0,0.0,4.749192736300349,0.0
GM26226,0.0,0.0,6.621372907177019,0.0,0.0,0.0
GM9920,0.0,0.0,0.3582038852699841,5.071983933941494,0.0,0.0
GM10552,7.591648260916533,2.244724111933275,2.05836319241294,2.4336253206387783,3.0609308041565884,3.3881870541697543
GM15832,3.0605726574926146,4.301594770544327,3.78196146391529,5.135231417449678,2.4339725654763287,9.749565854354678
IGHV1-36,8.445296219231647,0.0,3.3726010874000067,0.0,0.0,0.0
TRBV31,0.0,10.013774688664515,8.309109847999688,0.0,0.0,0.0
GM5321,0.0,0.0,2.8522036392482755,0.0,0.0,0.0
SLC16A14,0.0,0.0,0.0,1.5009365219291315,0.0,6.906130386991471
IGHV8-7,4.959511755238625,0.0,0.0,0.0,0.0,0.0
PRRT1,0.0,3.8725188779971904,7.907383568021578,2.3004345539405975,3.704337180077152,0.0
CD300LG,0.0,0.0,1.292255021047641,9.236727317140602,0.0,1.1225790241384273
IGHV1-15,11.181386522543077,0.0,6.857025441413066,0.0,0.0,0.0
GM22422,3.816169704195727,0.0,7.531084592624328,0.0,0.0,0.0
MIR6974,7.356546429448426,0.0,0.0,0.0,0.0,0.0
KLRB1C,0.1523512859742408,1.0694722952594995,5.433446347357229,1.268623001320898,13.207664922816445,0.0
GM16125,0.0,0.0,0.0,0.0,3.948722399149111,0.0
RPL31-PS10,2.9867237066743773,2.383838113983636,5.853708902213947,3.1719633022133054,0.0,2.1835088793136777
FCGR1,0.2681618821521631,0.0,1.8646487865138568,8.99928400130965,0.0,4.478786780079845
